Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Columbia_300A_SW48_000053_2_p08,Columbia_300A_SW48_000054_3_p08,Columbia_300A_SW48_000055_2_p08,Columbia_300A_SW48_000056_2_p08,Columbia_300A_SW48_000057_2_p08,Columbia_300A_SW48_000058_2_p08,Columbia_300A_SW48_000060_2_p08,Columbia_300A_SW48_000061_2_p08,Columbia_300A_SW48_000062_2_p08,Columbia_300A_SW48_000063_2_p08,Columbia_300A_SW48_000064_2_p08,Columbia_300A_SW48_000065_2_p08,Columbia_300A_SW48_000066_2_p08,Columbia_300A_SW48_000067_2_p08,Columbia_300A_SW48_000051_2_p08,Columbia_300A_SW48_000052_2_p08
572.198752042517,15,36,18,4,1,0,0,0,CHON,Other,573.206028509397,-0.37211296831795,-1,2508522,0,2541768.3,2886846,3127669.3,2665048.8,1834536.4,2456081.3,3403644.3,1649750.5,0,2953121,2490029.8,2710650.3,2701587.8,2451158.5
572.199096277315,28,36,6,3,0,1,1,0,CHONSP,Lignin,573.206372744195,-0.226167051731838,-1,0,2170985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572.199403584363,0,0,0,0,0,0,0,0,,None,573.206680051243,0,-1,0,0,0,0,0,0,0,0,0,0,1774728.4,0,0,0,0,0
572.206494225729,25,36,14,0,1,0,0,0,CHO,Lignin,573.213770692609,0.1570272649803,-1,0,0,0,1811132.9,2449780,0,0,0,2194299.5,0,0,0,0,0,2069267,0
572.206883482522,25,36,14,0,1,0,0,0,CHO,Lignin,573.214159949402,-0.522050261177581,-1,0,0,1984711.4,0,0,0,1797159.4,0,0,0,0,0,0,0,0,0
572.22127797406,0,0,0,0,0,0,0,0,,None,573.22855444094,0,-1,0,1683556.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572.221768547069,29,36,11,0,1,0,0,0,CHO,Lignin,573.229045013949,0.125294682420319,-1,0,0,0,1763002.5,2367857.5,0,0,0,0,0,0,0,0,0,0,0
572.222323616512,32,37,3,2,1,1,1,0,CHONSP,UnsatHC,573.229600083392,0.00875531858202117,-1,0,0,0,0,0,0,0,0,0,1610322,0,0,0,0,0,0
572.234852709796,16,40,17,4,1,0,0,0,CHON,Other,573.242129176676,0.124801755879918,-1,0,0,2235588.5,0,0,0,0,0,0,0,0,0,0,2421878.5,1697552.5,0
572.235281501843,16,40,17,4,1,0,0,0,CHON,Other,573.242557968723,-0.623209875789402,-1,0,0,0,0,0,0,1984036.4,1872395.1,1800056.1,1713231.6,0,1774486.1,1738409.8,0,0,1904082.4
572.243170495661,26,40,13,0,1,0,0,0,CHO,Lignin,573.250446962541,-0.350201978510775,-1,0,0,0,0,0,0,0,1704457.9,0,0,0,0,0,0,0,0
572.272460284225,0,0,0,0,0,0,0,0,,None,573.279736751105,0,-1,0,0,0,0,0,1684560.4,0,0,0,0,0,0,0,0,0,0
572.763474034436,0,0,0,0,0,0,0,0,,None,573.770750501316,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2584638.3,0,0
572.910711897687,0,0,0,0,0,0,0,0,,None,573.917988364566,0,-1,2355335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572.911459839843,0,0,0,0,0,0,0,0,,None,573.918736306723,0,-1,0,3152348.5,0,0,0,0,2198489.8,0,0,0,0,0,0,3026990.3,0,2284674.5
572.91202277358,0,0,0,0,0,0,0,0,,None,573.91929924046,0,-1,0,0,0,0,1717506,0,0,0,0,0,1677927.5,0,0,0,0,0
573.052286661841,25,18,16,0,0,0,0,0,CHO,ConHC,574.059563128721,-0.136914923636738,-1,2327667,2095552.4,3475568.3,2977845.3,2542827.3,0,4069322,2675072,2560792,1713588.5,0,2742943,2334286.5,3206175,2284744.8,2897009.5
573.052718730744,28,19,8,2,0,1,1,0,CHONSP,ConHC,574.059995197624,-0.0390212242222954,-1,0,0,0,0,0,3204598,0,0,0,0,2955360.8,0,0,0,0,0
573.065634000553,0,0,0,0,0,0,0,0,,None,574.072910467433,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1844253.4,0,0
573.066335384352,0,0,0,0,0,0,0,0,,None,574.073611851232,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687239.5,0
573.072585551949,0,0,0,0,0,0,0,0,,None,574.079862018829,0,-1,1998192.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573.073376516207,22,22,18,0,0,0,0,0,CHO,Tannin,574.080652983087,-0.0680724679176183,-1,0,0,2523246,2760241.8,2280167.8,3048435.5,0,2802044.3,2380053.5,0,2896991.8,2717336.8,0,1896476.6,2212038.8,0
573.073918224454,0,0,0,0,0,0,0,0,,None,574.081194691334,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2787916,0,0,0
573.088750932954,26,22,15,0,0,0,0,0,CHO,Lignin,574.096027399834,-0.274104202573663,-1,4199534,4924857,6461548.5,5830703.5,6015205.5,6340082,5452742,5405049.5,5036819.5,4110765.5,5005407,6018708,5951050,5198875,4923589.5,4720749
573.102059420248,0,0,0,0,0,0,0,0,,None,574.109335887128,0,-1,0,0,2046571.1,1721901.1,1918179.1,0,1662404.4,2072439.4,2330386,0,1672798.4,0,0,2698265.5,1689796.3,0
573.102373856506,24,31,10,0,0,2,1,0,CHOSP,Lignin,574.109650323386,-0.0439241633568117,-1,0,0,0,0,0,0,0,0,0,0,0,0,2159176.8,0,0,0
573.108361027735,0,0,0,0,0,0,0,0,,None,574.115637494614,0,-1,0,0,0,0,0,0,0,0,3932945.3,3861929.8,0,0,6893128,0,0,0
573.10999236235,23,26,17,0,0,0,0,0,CHO,Tannin,574.11726882923,-0.469275084135539,-1,0,3801012.8,4832362,3949611.8,3293409.8,4520431.5,2687427.5,4306294,0,0,5028958,3882637.5,0,3844120.5,3157187.5,3121258.8
573.110787998272,0,0,0,0,0,0,0,0,,None,574.118064465152,0,-1,2773098.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573.120196596635,0,0,0,0,0,0,0,0,,None,574.127473063515,0,-1,0,0,0,0,0,1741294.1,0,0,0,0,0,0,0,0,0,0
573.125203069925,27,26,14,0,0,0,0,0,CHO,Lignin,574.132479536805,-0.390141322138671,-1,5429352.5,5158321.5,6176872.5,7007273.5,6754527.5,7013869.5,6218690,5781875.5,6065935.5,4375974.5,5787741.5,6145673,6086214,5400599,5862594,5461097
573.138366831147,0,0,0,0,0,0,0,0,,None,574.145643298027,0,-1,3382374.8,3737007,4088935.3,3866663.3,3019997.3,3254764,2843584.3,4006257.3,3813133.8,2653604,2600028.5,3314308.8,3191364.5,4352021.5,3594433,3658855.3
573.146299151947,24,30,16,0,0,0,0,0,CHO,Tannin,574.153575618827,-0.332144979194075,-1,3918949.5,0,3911782.5,4401190,3942620,3651563,4073407.5,4365679.5,4021004.8,2673058.5,4532316,4977282.5,3599939.8,3611668.5,4034752.3,3551334.3
573.146799312426,0,0,0,0,0,0,0,0,,None,574.154075779305,0,-1,0,3429805.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573.156329748412,0,0,0,0,0,0,0,0,,None,574.163606215292,0,-1,1854564.3,0,0,0,0,0,0,0,0,0,0,0,1837122.5,0,0,0
573.161576667092,28,30,13,0,0,0,0,0,CHO,Lignin,574.168853133972,-0.369375089869728,-1,6317155.5,6285738.5,6908005,8348707.5,7737561.5,7554537,7119805.5,5777773,8087307,5151135.5,0,7497341.5,6256194,5699603,7154879,6683748.5
573.161970313311,31,31,5,2,0,1,1,0,CHONSP,Lignin,574.169246780191,-0.204581126396416,-1,0,0,0,0,0,0,0,0,0,0,5523547.5,0,0,0,0,0
573.174706032065,0,0,0,0,0,0,0,0,,None,574.181982498945,0,-1,5229665.5,5930407.5,6056035.5,6124577.5,6142167.5,4704743.5,4810684,6447467,7141129.5,4741533,4362331,5269113.5,5217856.5,7200785.5,6096062,5626979
573.182675199227,25,34,15,0,0,0,0,0,CHO,Lignin,574.189951666107,-0.315650259385857,-1,3264096.5,3417510.3,4200546.5,4343840,3668182,3257830.8,3193787.3,3694953.5,3990280.5,2250139.5,3468890.5,4096631.3,0,3452944.8,2825405,2753122
573.183052813204,28,35,7,2,0,1,1,0,CHONSP,Lignin,574.190329280084,-0.12294091382444,-1,0,0,0,0,0,0,0,0,0,0,0,0,3510847.5,0,0,0
573.192106932371,36,30,7,0,0,0,0,0,CHO,Lignin,574.199383399251,-0.400699752766998,-1,0,0,0,0,0,0,0,1867111.9,0,0,0,0,0,0,0,0
573.192561061432,37,34,2,0,0,2,0,0,CHOS,UnsatHC,574.199837528312,0.320772099970462,-1,0,0,2474081.5,0,2090196.4,0,2121146.3,0,0,1980313.6,0,0,0,0,1975996.1,0
573.192854751704,37,34,2,0,0,2,0,0,CHOS,UnsatHC,574.200131218584,-0.190705257812258,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025056.6
573.197894584332,29,34,12,0,0,0,0,0,CHO,Lignin,574.205171051212,-0.25164282542684,-1,6766686.5,5755299,7094369,8250397.5,8091859.5,6538725,6151097.5,6838631,8220422.5,5706136.5,0,7093874.5,6284861.5,5933071,6558907.5,6450272
